Datetime,Year,Month,Day,Hour,Minute,Week,Day of week,Steps
2025-10-05 12:48:28,2025,10,5,12,48,40,Sunday,22
2025-10-05 13:28:26,2025,10,5,13,28,40,Sunday,12
2025-10-05 13:43:59,2025,10,5,13,43,40,Sunday,14
2025-10-05 13:45:15,2025,10,5,13,45,40,Sunday,2
2025-10-05 13:46:15,2025,10,5,13,46,40,Sunday,4
2025-10-05 14:12:25,2025,10,5,14,12,40,Sunday,90
2025-10-05 14:15:25,2025,10,5,14,15,40,Sunday,114
2025-10-05 14:16:46,2025,10,5,14,16,40,Sunday,99
2025-10-05 14:17:52,2025,10,5,14,17,40,Sunday,106
2025-10-05 14:18:53,2025,10,5,14,18,40,Sunday,93
2025-10-05 14:19:52,2025,10,5,14,19,40,Sunday,83
2025-10-05 14:20:51,2025,10,5,14,20,40,Sunday,92
2025-10-05 14:22:02,2025,10,5,14,22,40,Sunday,11
2025-10-05 15:41:36,2025,10,5,15,41,40,Sunday,16
2025-10-05 16:28:59,2025,10,5,16,28,40,Sunday,26
2025-10-05 18:07:03,2025,10,5,18,7,40,Sunday,12
2025-10-05 18:08:03,2025,10,5,18,8,40,Sunday,30
2025-10-05 18:39:21,2025,10,5,18,39,40,Sunday,24
2025-10-05 18:40:21,2025,10,5,18,40,40,Sunday,24
2025-10-05 18:43:52,2025,10,5,18,43,40,Sunday,47
2025-10-05 20:10:01,2025,10,5,20,10,40,Sunday,55
2025-10-05 20:11:51,2025,10,5,20,11,40,Sunday,50
2025-10-05 20:13:01,2025,10,5,20,13,40,Sunday,74
2025-10-05 20:14:03,2025,10,5,20,14,40,Sunday,9
2025-10-05 20:15:03,2025,10,5,20,15,40,Sunday,66
2025-10-05 20:15:41,2025,10,5,20,15,40,Sunday,77
2025-10-05 20:24:45,2025,10,5,20,24,40,Sunday,18
2025-10-05 20:25:45,2025,10,5,20,25,40,Sunday,9
2025-10-05 20:36:07,2025,10,5,20,36,40,Sunday,10
2025-10-05 20:37:07,2025,10,5,20,37,40,Sunday,37
2025-10-05 20:38:05,2025,10,5,20,38,40,Sunday,65
2025-10-05 20:40:15,2025,10,5,20,40,40,Sunday,86
